CountryCode,Country_Long,TARGET,MedianAge,AVG_TEMP,PER_CAP_INC,LATITUDE,LONGITUDE,Avg_Per_Unemp,CHGENPCT,JDGENPCT,ISGENPCT,BUGENPCT,ZOGENPCT,HIGENPCT,NORELPCT,OtherRelPCT,Prohibited,SunniPCT,ShiaPCT
NPL,Nepal,61.8,22.9,12.74394041,2374.214404,28,84,2.590000033,0.0142,0,0.0439,0.0904,0,0.8134,0.0019,0.0362,0,0,0
NZL,New Zealand,29.4,37.6,9.975832156,37679.00778,-41,174,5.579999948,0.5407,0.0011,0.0112,0.021,0,0.0199,0.3919,0.0142,0,0,0
OMN,Oman,32.4,24.9,25.45410276,38630.69086,21,57,7.6,0.0334,0,0.8987,0.003,0,0.0262,0,0.0387,0,0.2893,0.0705
PAK,Pakistan,3,22.6,19.9810149,4811.362877,30,70,5.419999886,0.017,0,0.9569,0.0006,0,0.022,0.001,0.0025,1,0.8117,0.1432
PAN,Panama,28.9,28.3,24.72233335,20894.72324,9,-80,6.419999981,0.9793,0.0015,0.0031,0.0038,0,0.0001,0,0.0122,0,0,0
PER,Peru,31.5,27,19.45650895,11988.93123,-10,-76,4.40999999,0.938,0.0001,0.0002,0.0003,0,0,0.04,0.0214,0,0,0
PHL,Philippines,26.5,23.5,25.32667419,6968.969073,13,122,7.69000001,0.9174,0,0.0555,0.0011,0,0,0.0093,0.0167,0,0.05,0.005
PLW,Palau,31.1,33,,,,,0,0.8606,0,0.022,0.0085,0,0.0013,0.0153,0.0923,0,0,0
PNG,Papua New Guinea,19.2,22.4,25.053585,2854.748425,-6,147,2.550000024,0.96,0.0001,0.0003,0.0004,0,0,0.0052,0.034,0,0,0
POL,Poland,50.7,39.5,7.868831915,25261.55215,52,20,10.37000012,0.9046,0,0.0001,0,0,0,0.08,0.0153,0,0,0
PRK,North Korea,38.5,33.4,,,,,4.169999886,0.0166,0,0,0.0458,0,0,0.6432,0.2944,0,0,0
PRT,Portugal,47.1,41.1,14.97038087,28759.98429,39.5,-8,10.65,0.8573,0.0003,0.0085,0.0056,0,0.0006,0.0691,0.0586,0,0,0
PRY,Paraguay,31.1,26.8,23.48019004,8911.354513,-23,-58,5.639999962,0.951,0.0005,0.0006,0.0023,0,0,0.03,0.0156,0,0,0
QAT,Qatar,48.7,32.6,26.9173336,140649.1677,25.5,51.25,0.510000005,0.1445,0,0.47,0.0215,0,0.2648,0.0177,0.0815,0,0.37,0.1
ROM,Romania,46.3,39.8,8.811245525,20348.0696,46,25,6.940000105,0.9751,0.0004,0.004,0,0,0,0.0163,0.0042,0,0.004,0
RUS,Russian Federation,48.3,38.9,-6.3,22989.57795,60,100,6.8,0.7423,0.0014,0.1157,0,0,0,0.1404,0.0002,0,0.1,0
RWA,Rwanda,48,18.7,19.01189995,1660.55391,-2,30,0.600000024,0.8945,0,0.046,0,0,0,0.0035,0.056,0,0.0455,0.0005
SAU,Saudi Arabia,8,26.4,24.65100734,52010.17272,25,45,5.519999981,0.03,0,0.9382,0,0,0.01,0.02,0.0018,1,0.875,0.0632
SDN,Sudan,51.9,19.1,26.82433383,4069.345209,15,30,14.71000023,0.0715,0,0.71,0,0,0,0.01,0.2085,1,0.71,0
SEN,Senegal,21.7,18.4,27.87320583,2333.104722,14,-14,9.859999943,0.0349,0,0.9389,0.0001,0,0,0.0017,0.0244,0,0.9286,0.0103
SGP,Singapore,7.9,33.8,,,,,3.24000001,0.1821,0.0001,0.1422,0.3303,0,0.0505,0.1178,0.177,0,0,0
SLB,Solomon Islands,11.4,21.6,25.67630043,2130.438908,-8,159,3.889999962,0.9,0,0.0032,0.0033,0,0,0.0032,0.0903,0,0,0
SLE,Sierra Leone,42.4,19,26.0437999,1966.119382,8.5,-11.5,3.380000067,0.1905,0,0.5532,0,0,0.0005,0.0122,0.2436,0,0.5382,0.015
SLV,El Salvador,15.8,25.6,24.77087498,8351.116739,13.8333,-88.9167,6.49000001,0.861,0.0001,0.0003,0,0,0,0.111,0.0276,0,0,0
SOM,Somalia,19.2,17.7,,,,,6.900000095,0.0005,0,0.995,0,0,0.0006,0.0004,0.0035,0,0.985,0.01
SRB,Serbia,41.2,41.9,10.17899356,13594.13356,44,21,19.21000023,0.9122,0.0001,0.031,0,0,0,0.0528,0.0039,0,0.0264,0.0047
SUR,Suriname,27.8,28.6,25.76608164,16637.57551,4,-56,7.770000029,0.48,0.0005,0.196,0,0,0.274,0,0.0495,0,0,0
SVN,Slovenia,37.4,43.5,8.04021112,30402.6936,46,15,7.19000001,,,,,,,,,0,0.03,0
SWE,Sweden,28.4,41.2,1.546350562,45296.95626,62,15,7.460000038,0.7606,0.0021,0.06,0,0,0,0.16,0.0173,0,0.06,0
SWZ,Swaziland,28.1,21,20.41380005,8292.087815,-26.5,31.5,22.70999985,0.7843,0,0.0066,0,0,0.0015,0.0118,0.1958,0,0,0
SYC,Seychelles,27.6,33.9,,,,,0,0.9365,0,0.0168,0.0038,0.0002,0.0251,0.0097,0.0079,0,0,0
SYR,Syria,35.3,23.3,,,,,9.849999905,0.0752,0,0.902,0,0,0,0.0146,0.0082,0,0.742,0
TCD,Chad,71.8,17.2,26.65074126,2182.0442,15,19,7.049999952,0.34,0,0.552,0.0002,0,0,0.0025,0.1053,0,0.54,0.012
TGO,Togo,8,19.6,26.79911137,1428.82077,8,1.1667,7.029999971,0.48,0,0.14,0,0,0,0.0025,0.3775,0,0.14,0
THA,Thailand,51.9,36.2,26.24988821,15735.07258,15,100,1.150000018,0.006,0,0.1,0.87,0,0.0008,0.01,0.0132,0,0.09,0.01
TJK,Tajikistan,51.5,23.5,3.025248465,2690.752881,39,71,11.43999996,0.0202,0.0003,0.9,0.0008,0,0,0.025,0.0537,0,0.85,0.05
TKM,Turkmenistan,23.3,26.6,15.21978049,15473.58383,40,60,10.9,0.09,0.0001,0.89,0.0001,0,0,0.01,0.0098,0,0.89,0
TMP,Timor-Leste,16.8,18.5,24.96599992,2226.962905,-8.55,125.5167,5.149999976,0.98,0,0.007,0.001,0,0,0.0039,0.0081,0,0,0
TON,Tonga,10.3,22,,,,,0,0.9421,0,0,0.0012,0,0.001,0.0043,0.0514,0,0,0
TTO,Trinidad and Tobago,28.8,34.4,25.8625002,31967.2209,11,-61,5.700000048,0.5588,0,0.0503,0,0,0.184,0.1346,0.0723,0,0,0
TUN,Tunisia,56.3,31.4,19.36345617,11435.6281,34,9,13.81999989,0.0035,0.0001,0.99,0,0,0,0,0.0064,0,0.98,0.01
TUR,Turkey,37.8,29.6,10.93360648,19787.65643,39,35,10.07999992,0.0042,0.0002,0.9858,0,0,0,0.005,0.0048,0,0.9858,0
TUV,Tuvalu,13.3,24.9,,,,,0,0.9699,0,0.001,0,0,0,0.007,0.0221,0,0,0
TZA,Tanzania,39.9,17.4,,,,,3.210000014,0.4777,0,0.36,0.0002,0,0.0075,0.0089,0.1457,0,0.3189,0.0411
UGA,Uganda,51.7,15.5,22.59584155,1770.856906,1,32,3.779999876,0.833,0.0001,0.12,0.0001,0,0.0058,0.0043,0.0367,0,0.1146,0.0054
UKR,Ukraine,44.2,40.6,8.205565565,8665.486173,49,32,7.840000105,0.852,0.0015,0.0099,0.001,0,0,0.1348,0.0008,0,0.0099,0
URY,Uruguay,27.2,34.3,17.5674857,20884.26549,-33,-56,7.9,0.8183,0.003,0.0003,0,0,0,0.172,0.0064,0,0,0
USA,United States,28.7,37.6,6.754627068,54629.49517,38,-97,6.929999876,0.7454,0.019,0.009,0.0109,0.0053,0.0057,0.19,0.0147,0,0,0
UZB,Uzbekistan,25.7,27.1,12.51938331,5573.112675,41,64,10.88999996,0.05,0.0001,0.93,0,0,0,0.0179,0.002,0,0.92,0.01
VEN,Venezuela,32.8,26.9,,,,,8.580000162,0.95,0.0006,0.001,0.0004,0,0,0.0439,0.0041,0,0,0
VUT,Vanuatu,9.1,21.1,23.84049988,3030.558197,-16,167,0,0.85,0,0,0.002,0,0,0.0331,0.1149,0,0,0
WSM,Samoa,17.6,23.1,,,,,0,0.9538,0,0.0003,0.0001,0,0,0.0146,0.0312,0,0,0
ZAF,South Africa,58.5,25.7,17.59687334,13049.27709,-29,24,24.21000042,0.8094,0.0016,0.0169,0.0032,0,0.015,0.064,0.0899,0,0.0154,0.0015
ZMB,Zambia,28.7,16.7,21.58413197,3904.025445,-15,30,14.0000001,0.87,0.0001,0.0055,0.0003,0,0.005,0.0018,0.1173,0,0.005,0.0005
ZWE,Zimbabwe,31.4,20.2,21.03138971,1791.514044,-20,30,5.550000048,0.8188,0.0009,0.0107,0,0,0.0015,0.0256,0.1425,0,0.0105,0.0002
